sample_idx,sample_name,sample_city,sample_state,reason
728,sportchassis featherlite trailers of texas,conroe,TX,no_match_above_threshold
731,advance auto parts,raleigh,NC,no_match_above_threshold
733,boston's restaurant & sports bar,shelby twp,MI,no_match_above_threshold
736,olympia gymnastics & cheer,san antonio,TX,no_match_above_threshold
737,foemmel fine homes,hopkinton,MA,no_match_above_threshold
749,zumiez,spokane,WA,no_match_above_threshold
752,houston methodist emergency care center at kirby,houston,TX,no_match_above_threshold
753,,,大阪府,no_match_above_threshold
761,apollo machine tool services,arlington,TX,no_match_above_threshold
764,united promotions,charlotte,NC,no_match_above_threshold
767,brilliant earth,boston,MA,no_match_above_threshold
783,salt room perth,perth,WA,no_match_above_threshold
785,strawberry fields restaurant,new baltimore,MI,no_match_above_threshold
789,oak hill academy,dallas,TX,no_match_above_threshold
791,waxahachie ford collision,waxahachie,TX,no_match_above_threshold
797,service department ken garff honda of orem,orem,UT,no_match_above_threshold
800,murphy usa 6583,paris,TX,no_match_above_threshold
807,chick-fil-a grand parkway north,spring,TX,no_match_above_threshold
810,u-haul neighborhood dealer,kannapolis,NC,no_match_above_threshold
815,sam's xpress car wash,denver,NC,no_match_above_threshold
825,smashburger,colorado springs,CO,no_match_above_threshold
833,promise insurance agency,concord,NC,no_match_above_threshold
840,ichiro clinics peak performance integrated medicine north office,grand rapids,MI,no_match_above_threshold
841,pharmacare drugs pharmacy,ypsilanti twp,MI,no_match_above_threshold
853,subway,aberdeen,SD,no_match_above_threshold
856,ways2well,houston,TX,no_match_above_threshold
880,kneaders bakery & cafe,st george,UT,no_match_above_threshold
887,titan factory direct,midland,TX,no_match_above_threshold
900,shady's burgers & brewhaha,dallas,TX,no_match_above_threshold
904,save-a-lot,pueblo,CO,no_match_above_threshold
911,aspen grove - kitchen & bath,frisco,CO,no_match_above_threshold
917,houston methodist emergency care center in sienna plantation,missouri city,TX,no_match_above_threshold
921,imlay city ford,imlay city,MI,no_match_above_threshold
935,elk river medical,banner elk,NC,no_match_above_threshold
936,,yongsan district,,no_match_above_threshold
951,dancenter 39892 6 personen ferienhaus in einem ferienpark in hanstholm,hanstholm,,no_match_above_threshold
961,chisolm trace,san antonio,TX,no_match_above_threshold
977,evergreen middle school,redmond,WA,no_match_above_threshold
981,athleta,asheville,NC,no_match_above_threshold
984,manpower,charlotte,NC,no_match_above_threshold
986,13214343,east palo alto,CA,no_match_above_threshold
996,chick-fil-a,keller,TX,no_match_above_threshold
999,walmart,aurora,CO,no_match_above_threshold
1001,,広島市,広島県,no_match_above_threshold
1011,carlos alberto hair stylist,,,no_match_above_threshold
1014,di hekimi g lden ege,,,no_match_above_threshold
1016,usaa atm,universal city,TX,no_match_above_threshold
1040,craig bagley,weatherford,TX,no_match_above_threshold
1045,subway,kaneohe,HI,no_match_above_threshold
1050,la riviera,,,no_match_above_threshold
1051,coin cloud dcm,amarillo,TX,no_match_above_threshold
1053,coinstar kiosk bitcoin atm,greensboro,NC,no_match_above_threshold
1059,,,,no_match_above_threshold
1065,,豊岡市,,no_match_above_threshold
1066,law office of lynnmarie johnson,flint,MI,no_match_above_threshold
1093,,山形市,,no_match_above_threshold
1095,,nakhon pathom,,no_match_above_threshold
1102,,寝屋川市,,no_match_above_threshold
1109,,,,no_match_above_threshold
1110,,,,no_match_above_threshold
1112,a1 dental,ogden,UT,no_match_above_threshold
1113,,,,no_match_above_threshold
1117,,千代田区,,no_match_above_threshold
1118,,,,no_match_above_threshold
1120,,,,no_match_above_threshold
1123,moana,宮古島市,,no_match_above_threshold
1127,,suphan buri,,no_match_above_threshold
1131,west texas lifestyle & rehab,denver city,TX,no_match_above_threshold
1138,hwv hanseatische wirtschafts- und vertriebsgesellschaft f r rztebedarf r blome gmbh,bremen,,no_match_above_threshold
1141,jard n privado,,,no_match_above_threshold
1142,k c,,,no_match_above_threshold
1149,,所沢市,,no_match_above_threshold
1150,vavavooom,asheville,NC,no_match_above_threshold
1151,,名古屋市中村区,,no_match_above_threshold
1172,,,,no_match_above_threshold
1173,,,,no_match_above_threshold
1176,istanbul k ds hewler erbil,,,no_match_above_threshold
1177,gary ritter violin,northfield twp,MI,no_match_above_threshold
1196,,,,no_match_above_threshold
1211,my econo's 3995 optical,windcrest,TX,no_match_above_threshold
1213,,,,no_match_above_threshold
1219,,栃木市,,no_match_above_threshold
1227,logop die im rztehaus achtal birgit brinkmann & andrea dietz,baienfurt,,no_match_above_threshold
1231,baylor scott & white primary care prosper,prosper,TX,no_match_above_threshold
1232,,,,no_match_above_threshold
1237,,福岡市博多区,,no_match_above_threshold
1239,first hawaiian bank atm,keaau,HI,no_match_above_threshold
1241,ubs vila elvira,,,no_match_above_threshold
1243,,,,no_match_above_threshold
1245,elks lodge 1709,shelby,NC,no_match_above_threshold
1261,,那覇市,,no_match_above_threshold
1265,,札幌市手稲区,,no_match_above_threshold
1266,la gran carpa del chavo,,,no_match_above_threshold
1283,coinstar kiosk - bitcoin atm,chicopee,MA,no_match_above_threshold
1286,,,,no_match_above_threshold
1294,highway 93 rv,victor,MT,no_match_above_threshold
1304,,,,no_match_above_threshold
1305,,一宮市,,no_match_above_threshold
1326,studio dentistico dr tonti,schio,VI,no_match_above_threshold
1328,starbucks,denver,CO,no_match_above_threshold
1332,pickleball406,hamilton,MT,no_match_above_threshold
1338,patchara hotel,,,no_match_above_threshold
1345,,,,no_match_above_threshold
1348,poradnia medycyny pracy je yce,poznań,30,no_match_above_threshold
1349,steak neua nomyai,,,no_match_above_threshold
1356,,,,no_match_above_threshold
1357,emmanuel church of god in christ,houston,TX,no_match_above_threshold
1359,,,,no_match_above_threshold
1363,,,,no_match_above_threshold
1364,,,,no_match_above_threshold
1365,,,,no_match_above_threshold
1366,3,khon kaen,,no_match_above_threshold
1370,,,,no_match_above_threshold
1373,,,,no_match_above_threshold
1374,uluer gen ya am merkezi,,,no_match_above_threshold
1375,delmoro supermercados,sorriso,MT,no_match_above_threshold
1389,,前橋市,,no_match_above_threshold
1393,,,,no_match_above_threshold
1396,,鹿児島市,,no_match_above_threshold
1401,cashpoints atm,carolina beach,NC,no_match_above_threshold
1402,,,,no_match_above_threshold
