sample_idx,names,addresses,categories,websites,phones,emails,socials,brand
17,"{'primary': ""LuLu's Bar & Resto""}","[{'freeform': '9902 S Thomas Dr', 'locality': 'Panama City Beach', 'region': 'FL', 'country': 'US', 'postcode': '32408'}]","{'primary': 'bar_and_grill_restaurant', 'alternate': ['restaurant', 'diner']}",['http://luluspcb.com'],"[""+18502004040""]",,['https://www.facebook.com/106821481775458'],{'names': {}}
18,{'primary': 'Fastest Labs Pittsburgh'},"[{'freeform': '100 Fleet St', 'locality': 'Pittsburgh', 'region': 'PA', 'country': 'US', 'postcode': '15220'}]","{'primary': 'laboratory_testing', 'alternate': ['clinical_laboratories', 'scientific_laboratories', 'b2b_medical_support_services', 'laboratory', 'health_and_medical', 'business_to_business']}",['https://www.fastestlabs.com/pittsburgh/'],"[""4124670907""]",,,{'names': {}}
19,"{'primary': 'Jill R. Johnson, APRN, CNP'}","[{'freeform': '1021 E Bryan Ave', 'locality': 'Sapulpa', 'postcode': '74066', 'region': 'OK', 'country': 'US'}]","{'primary': 'nurse_practitioner', 'alternate': ['health_and_medical']}",[''],"[""9182271000""]",,,{'names': {}}
20,{'primary': 'Audio Network'},"[{'freeform': 'Audio Network (3Rd Floor), The Johnson Building, 77 Hatton Garden', 'locality': 'London', 'region': '', 'country': 'GB', 'postcode': 'EC1N 8JS'}]",{'primary': 'music_production_services'},['https://www.audionetwork.com/'],"[""02075661441""]",,,{'names': {}}
21,{'primary': 'Orangetheory Fitness'},"[{'freeform': '4615 Poplar Ave 12', 'locality': 'Memphis', 'region': 'TN', 'country': 'US', 'postcode': '38117'}]","{'primary': 'gym', 'alternate': ['active_life', 'health_and_medical']}",['https://east-memphis.orangetheoryfitness.com/'],"[""+19014215785""]",,['https://www.facebook.com/1566769126936363'],{'names': {}}
22,{'primary': 'Fitness Together'},"[{'freeform': '9708 Riverside Pkwy Ste D', 'locality': 'Tulsa', 'region': 'OK', 'country': 'US', 'postcode': '74137'}]","{'primary': 'gym', 'alternate': ['active_life']}",['http://www.fitnesstogether.com/jenks-riverside'],"[""9183920540""]",,,{'names': {}}
23,{'primary': 'REI'},"[{'freeform': '2200 Bergen Town Ctr', 'locality': 'Paramus', 'postcode': '07652', 'region': 'NJ', 'country': 'US'}]","{'primary': 'outdoor_gear', 'alternate': ['sporting_goods']}",['https://www.rei.com/stores/paramus?y_source=1_MTQ1MzQxNC01NTktbG9jYXRpb24ud2Vic2l0ZQ%3D%3D'],"[""+12012261560""]",,['https://www.facebook.com/1639987059576614'],{'names': {}}
24,{'primary': 'Chipotle Mexican Grill'},"[{'freeform': '6780 N 5th St', 'locality': 'North Las Vegas', 'postcode': '89084', 'region': 'NV', 'country': 'US'}]","{'primary': 'mexican_restaurant', 'alternate': ['eat_and_drink']}",['https://locations.chipotle.com/nv/north-las-vegas/6780-n-5th-st?utm_source=extendednetwork&utm_medium=yext&utm_campaign=yext_listings'],"[""+17253030086""]",,['https://www.facebook.com/214538125086445'],{'names': {}}
25,{'primary': 'Garage'},"[{'freeform': '900 Maple Ave, #B29', 'locality': 'Burlington', 'region': 'ON', 'country': 'CA', 'postcode': 'L7S 2J8'}]","{'primary': 'designer_clothing', 'alternate': ['clothing_store', 'retail']}",['https://www.garageclothing.com/ca/stores'],"[""9056311104""]",,,{'names': {}}
26,{'primary': 'Charlottesville Voter Registration'},"[{'freeform': '120 7th St NE Ste 122', 'locality': 'Charlottesville', 'region': 'VA', 'country': 'US', 'postcode': '22902'}]","{'primary': 'public_service_and_government', 'alternate': ['public_and_government_association', 'central_government_office']}",['http://www.charlottesville.gov/vote'],"[""+14349703250""]",,['https://www.facebook.com/1654641278168104'],{'names': {}}
27,{'primary': 'Waynesboro Chrysler Dodge Jeep Ram'},"[{'freeform': '480 US Highway 25 N', 'locality': 'Waynesboro', 'region': 'GA', 'country': 'US', 'postcode': '30830'}]","{'primary': 'car_dealer', 'alternate': ['automotive_dealer', 'automotive_repair']}",['http://www.waynesborocdjr.com/'],"[""+17063609400""]",,['https://www.facebook.com/178499402801399'],{'names': {}}
28,{'primary': 'Viviane M Santos CNP'},"[{'freeform': '5111 N Glen Park Place Rd', 'locality': 'Peoria', 'postcode': '61614', 'region': 'IL', 'country': 'US'}]","{'primary': 'health_consultant', 'alternate': ['doctor', 'active_life']}",['https://www.osfhealthcare.org/physicians/profile/3318/viviane-m-santos-cnp/'],"[""3096835700""]",,,{'names': {}}
